,Unnamed: 0,vpp0ch0,vpp1ch1,vpp2ch2,vpp3ch3,UVC,UVB,Rch,Gch,Bch,QilMax,VR1,VR4,VR5,VR5B,qpermax,sigmavis,name,target,qilmax
77,7,3843967,1670724,734770,501099,3170454,5679106,261835,706335,832071,434,672,354,1555,1244,0.6332253831397432,1800241,NF BB DSV vorne,1,0.4308557305021908
78,8,3842040,1670881,732610,494595,3176679,5737305,262159,706819,831659,434,673,357,1554,1243,0.6464301789391644,1800637,NF BB DSV vorne,1,0.4305579755255047
79,9,3844882,1664452,733316,496260,3176679,5736628,261674,706750,831311,432,674,355,1517,1213,0.632566618968844,1799735,NF BB DSV vorne,1,0.4327164256620776
80,0,4482380,2035694,766920,505819,4353106,7169091,312560,824539,969609,454,729,326,1476,1181,0.6519097653847664,2106708,Rossignol Black base ski6,1,0.4340291531666954
81,1,4486859,2033255,768051,502900,4224607,7147656,313122,826137,970371,453,737,328,1448,1158,0.6512888669422834,2109630,Rossignol Black base ski6,1,0.431530759546097
82,2,4482382,2049175,773790,510565,4219444,7199401,313353,825115,971569,457,731,328,1460,1168,0.6336676020958848,2110037,Rossignol Black base ski6,1,0.430523753130981
83,3,4483502,2044911,757956,505020,4225309,7256986,311824,827680,970925,456,730,324,1441,1153,0.6379808825455021,2110429,Rossignol Black base ski6,1,0.4296369918824099
84,4,4500503,2054701,773407,509374,4219867,7267683,313048,827244,972634,456,692,328,1435,1148,0.6558044619543051,2112926,Rossignol Black base ski6,1,0.4346108524552297
85,5,4486355,2044209,780529,512119,4221340,7276969,312976,826083,970666,455,719,329,1497,1197,0.6357446964692065,2109725,Rossignol Black base ski6,1,0.4333595843666412
86,6,4478648,2035351,750869,497864,4219673,7339948,311429,825776,972635,454,708,324,1373,1098,0.6459724850078569,2109840,Rossignol Black base ski6,1,0.4342515313174641
87,7,4495650,2054182,774330,511779,4219984,7314583,311951,825338,971122,456,708,327,1519,1215,0.6332253831397432,2108411,Rossignol Black base ski6,1,0.4308557305021908
88,8,4502747,2055059,782384,515663,4215116,7300254,311537,825515,971176,456,699,328,1479,1183,0.6464301789391644,2108228,Rossignol Black base ski6,1,0.4305579755255047
89,9,4480781,2040447,768061,510060,4215116,7307227,312993,826744,970791,455,740,324,1445,1156,0.632566618968844,2110528,Rossignol Black base ski6,1,0.4327164256620776
90,0,4492977,1703251,664071,452234,5608290,11412718,355981,1180809,1702792,379,731,171,1089,871,0.6519097653847664,3239582,Rossignol Blue base ski1,1,0.4340291531666954
91,1,4497178,1698465,664608,454069,5465440,11561313,357152,1181970,1704376,377,737,170,1036,828,0.6512888669422834,3243498,Rossignol Blue base ski1,1,0.431530759546097
92,2,4486074,1703441,663066,457464,5460417,11739250,357404,1181256,1706058,379,730,169,1062,849,0.6336676020958848,3244718,Rossignol Blue base ski1,1,0.430523753130981
93,3,4478845,1699804,653328,444341,5471365,11806145,355568,1178367,1703562,379,776,172,1022,818,0.6379808825455021,3237497,Rossignol Blue base ski1,1,0.4296369918824099
94,4,4486325,1704557,663232,443731,5464161,11885575,356018,1180310,1704868,379,752,175,1086,869,0.6558044619543051,3241196,Rossignol Blue base ski1,1,0.4346108524552297
95,5,4500376,1723906,667536,456803,5465777,11918650,357025,1181632,1704528,383,740,172,1098,878,0.6357446964692065,3243185,Rossignol Blue base ski1,1,0.4333595843666412
96,6,4485003,1704544,663280,455424,5470790,11973016,356539,1179941,1703606,380,727,170,1100,880,0.6459724850078569,3240086,Rossignol Blue base ski1,1,0.4342515313174641
97,7,4479695,1694235,659683,447580,5454008,11992702,356757,1180195,1704447,378,746,171,1099,879,0.6332253831397432,3241399,Rossignol Blue base ski1,1,0.4308557305021908
98,8,4485785,1696153,654673,443396,5473577,12012402,359134,1180372,1704851,378,738,172,1030,824,0.6464301789391644,3244357,Rossignol Blue base ski1,1,0.4305579755255047
